lateral_position_motor,elevational_position_motor,axial_position_motor,mean_error_lateral_position_tracked,mean_error_elevational_position_tracked,mean_error_axial_position_tracked,repeatability_lateral_position_tracked,repeatability_elevational_position_tracked,repeatability_axial_position_tracked,mean_error_rms,repeatability_rms
0.0,-0.02,0.03,0.0008440523352097,-0.0041714449439862,-0.0004577042173776,0.0003265260385653,0.0006067115981991,0.0001472372535567,0.0042805222129883,0.0007045544876626
0.0,-0.02,0.04,0.0020958200053617,-0.0043939211010837,-0.0004623807808511,0.0005049494554108,0.0008241519408971,0.0003041490228626,0.0048900715867893,0.0010132655142225
0.0,-0.02,0.05,0.0029545116741392,-0.0004371326538027,-0.0005414595837294,0.001877982011445,0.0026247037936974,0.0004082149328424,0.0030353587383467,0.0032530794443659
0.0,-0.02,0.06,0.006908562869983,0.0037650741704305,-0.0008647295718717,0.0035422292748414,0.0025727522764376,0.0006333360425453,0.0079152878450389,0.0044235231495094
0.0,-0.02,0.07,0.0090727529908408,0.002497862540947,-0.0013280096117467,0.0069647916544141,0.0041925443474858,0.0012739383141964,0.0095035663640113,0.0082285277980578
0.0,-0.02,0.08,0.0010442476277368,-0.0005793938712061,-0.0003054192801754,0.0009795931185727,0.0005788388811778,0.000109006902774,0.0012326521418178,0.0011430396463687
0.0,-0.02,0.09,0.001180314349534,0.0002395201095918,-0.0002162199214794,0.0008161121628071,0.000381246218372,0.0001015536250767,0.0012236269452163,0.0009064771812191
0.0,-0.02,0.1,0.0013269907235645,0.0001118599495696,-0.0001282118915033,0.0008578684620922,0.0003513122864849,7.989426999765285e-05,0.0013378547446815,0.0009304524250418
0.0,-0.02,0.11,0.0011796264390227,0.0001512659528202,-9.833727659611322e-05,0.0010741932558384,0.0004356267187144,8.690725855103127e-05,0.0011933441012936,0.0011624175930084
0.0,-0.02,0.12,-0.0016241184194791,8.002751417984423e-05,-0.0001808734465296,0.0020167039962701,0.0005874887543175,0.000353246638201,0.0016361174307417,0.0021300284581249
0.0,-0.02,0.13,-0.002772488770961,0.0001789757772677,0.0001279671868797,0.0025685037822125,0.0008748844203729,0.0001804939967447,0.0027812051191653,0.0027194140014187
0.0,-0.02,0.14,0.0013204468679368,0.0005227795598747,8.19241991528945e-05,0.0010143267335256,0.0004078404964646,8.25508254294706e-05,0.0014225294280519,0.0010963609039364
0.0,-0.01,0.02,-0.0010709103202678,-0.0021676892312716,0.0002350134159372,0.0003864055015245,0.0003619920901358,0.0001900145296424,0.0024291885112312,0.0005625415597132
0.0,-0.01,0.03,-0.0009010734391884,-0.0036817437185606,0.0007720179826538,0.0007086796687097,0.0007312070853711,0.0002587567151322,0.003868227231887,0.0010506406198912
0.0,-0.01,0.04,-0.0001897870130047,-0.0005082795047803,0.0002444639117048,0.00042433211778,0.000315841577606,8.996594547066546e-05,0.0005950880350092,0.0005365701442205
0.0,-0.01,0.05,0.0014134699146811,-0.0005176253158757,-0.0001237319520627,0.0003869426418726,0.0003420715041751,0.0001147235043855,0.0015103452463941,0.0005290548218536
0.0,-0.01,0.06,0.0019371437528306,-9.596107046628406e-05,-0.0001757150249394,0.0007587517166769,0.000343371247212,7.54559778228142e-05,0.0019474625069986,0.0008362425399137
0.0,-0.01,0.07,0.0012189589794618,0.0002321212527443,-0.0001221760705621,0.0009120044407534,0.0003291353057359,7.750721563075846e-05,0.0012468633693409,0.0009726713308773
0.0,-0.01,0.08,0.0006089762002934,0.0003979782606536,-7.896546220323857e-05,0.000977308509098,0.0003050765729799,6.720235445873828e-05,0.0007317610625728,0.0010260213417768
0.0,-0.01,0.09,-0.0001841029075274,0.0004529952215101,-6.255309557664374e-05,0.0021435746350591,0.0006610053038672,5.789593458584853e-05,0.0004929619062739,0.0022439233870725
0.0,-0.01,0.1,0.0004278955800462,0.0003328322836565,-2.450791613673111e-05,0.0009783380431345,0.0006448444874374,8.663804166902432e-05,0.0005426532911726,0.0011749365471748
0.0,-0.01,0.11,0.0007915958825664,1.6942369217236047e-05,-2.2445600641701474e-06,0.0004631329404827,0.0002858691669957,5.958928309787132e-05,0.0007917803503628,0.0005475072454854
0.0,-0.01,0.12,0.0004939525418435,-0.000163407520854,5.1997425752575275e-05,0.0005403954040026,0.0003149557485752,5.693551866075781e-05,0.000522871746942,0.0006280652589603
0.0,-0.01,0.13,0.0003060834478549,-0.0002715956858223,6.021196163453304e-05,0.0004305793561323,0.0002376994384597,6.54268431636606e-05,0.0004136142815861,0.0004961655739547
0.0,-0.01,0.14,-0.0033903938525562,-0.0010916598848132,-6.452950206804503e-05,0.0023567169426961,0.0008385652019459,0.00025453299641,0.0035623946772078,0.0025143773368703
0.0,-0.0,0.02,-0.0014768124044691,-0.0017562813520263,0.0005219154912141,0.0004838863061621,0.0005631499998021,0.0004751603346129,0.0023532732194624,0.0008815107617935
0.0,-0.0,0.03,-0.0009445334035254,0.0001429588404928,-5.2920153760132984e-05,0.0002520348486911,0.0002714193159444,0.0001343093263573,0.0009567555189934,0.000393991123211
0.0,-0.0,0.04,0.0003605233080929,0.000421227064023,0.0002545085462174,0.0008165711275326,0.0004417999073757,0.000171963635196,0.0006100687627156,0.0009442176954002
0.0,-0.0,0.05,0.0020193085483586,9.975465041551368e-05,0.0001033270993531,0.000286593825856,0.00015112733385,7.632447550534401e-05,0.0020244096653628,0.0003328677178949
0.0,-0.0,0.06,0.0022417207587475,2.1231617225779253e-05,0.0001715947052352,0.0003370735519113,0.000177359620048,4.973675580210445e-05,0.0022483788570066,0.0003841207610887
0.0,-0.0,0.07,0.0018211280496335,0.0001191256026222,0.0002164955456058,0.0008259090076214,0.0002647619179535,5.5002116501772455e-05,0.0018378162594855,0.0008690510887676
0.0,-0.0,0.08,0.0013507429727484,-9.479681797462898e-06,0.0002880015190986,0.0010506132405823,0.0002826294563409,7.161261431190646e-05,0.00138113768966,0.0010903191997791
0.0,-0.0,0.09,0.0006404630894537,0.0001270061287948,0.0003273803313352,0.0007961790959836,0.00031177709611,6.460463771200589e-05,0.0007304118064826,0.0008574846177944
0.0,-0.0,0.1,0.0008238014612409,-5.2907124263365894e-05,0.0001683873306135,0.0004870640764451,0.0002866348425233,4.899626888474176e-05,0.000842497658425,0.0005672667642973
0.0,-0.0,0.11,0.0006100697146647,-0.0001009174468553,0.0002752954092221,0.0004897702316466,0.000243016590519,5.6591411033946145e-05,0.0006768729202514,0.0005496676549311
0.0,-0.0,0.12,0.0003581399992987,-7.299349765650652e-05,0.0003183713167621,0.0006657518617649,0.0002632583189666,4.937786018046057e-05,0.0004847190992056,0.0007176131667024
0.0,-0.0,0.13,-0.0002124905616217,-0.0001982838423137,0.0003658587788579,0.0005524625433517,0.0002384370705808,6.193718177076093e-05,0.0004672487206707,0.0006048994238049
0.0,-0.0,0.14,-0.0002672701049902,-0.0003460740699862,0.0004129270637135,0.000528016346117,0.0002834408727757,4.87313450625362e-05,0.0006014227555434,0.0006012609534289
0.01,-0.02,0.02,-0.0003507914085346,-0.001536965254945,0.0001494038060193,0.0002027783488804,0.0004053478673967,0.0001092646676328,0.0015835524318642,0.0004662238946801
0.01,-0.02,0.03,-0.0009646189676091,-0.0040793640695647,-0.0003564904177697,0.0003684868445153,0.0004500376978315,0.0003380843493024,0.004206992557955,0.0006727685421403
0.01,-0.02,0.04,-0.0002308030097336,-0.0038567780970582,-0.0002674909617549,0.0005832369411735,0.0009965190784692,0.0002418375678743,0.0038729263785761,0.0011797037816918
0.01,-0.02,0.05,0.0020110422550269,-0.0001546327173379,-0.0001533182863421,0.001427093251805,0.0017260197229344,0.0004566152850922,0.0020227972527424,0.0022856589316619
0.01,-0.02,0.06,0.0046181969471835,0.0024061504659515,-0.0002940935048536,0.0014969878215927,0.0016927908273858,0.00037197493932,0.0052157256539595,0.0022901700108858
0.01,-0.02,0.07,0.0066406078412105,0.0031130466250679,-0.0005797241682877,0.002599343265386,0.0026475542980052,0.0006886493677751,0.0073569567011021,0.0037736410963327
0.01,-0.02,0.08,0.0043568099513497,6.625130896193843e-05,-0.0003323363961028,0.0014338824433848,0.0004350075747155,0.0001343180910063,0.0043699690694894,0.0015044240762095
0.01,-0.02,0.09,0.0027802887746342,-0.0004969538246764,-0.0002886798443514,0.001136167696239,0.0003234058523623,0.0001680981638067,0.0028390675981301,0.0011931996362698
0.01,-0.02,0.1,0.0015259364281821,-0.0003504310461485,-0.0001518268639202,0.0011158462946984,0.0003572214711251,0.0001415539134597,0.0015730020017679,0.0011801515340162
0.01,-0.02,0.11,0.0014052890012633,-7.508429873107326e-05,-2.877165676932988e-05,0.0009913238985212,0.0002953656060835,9.42602526931651e-05,0.0014075875238226,0.0010386765176292
0.01,-0.02,0.12,0.0005013510904588,-0.0003837785266827,8.499116540315634e-06,0.0012408862234556,0.0003479085967888,0.000118102710321,0.000631435751624,0.001294135719879
0.01,-0.02,0.13,-7.689432669870529e-05,-0.0004758035135059,0.0001165329472097,0.0012493402134157,0.0005889639542445,0.0001403185352077,0.0004958645467549,0.0013883150937665
0.01,-0.02,0.14,0.0014133273293602,0.0001979339749107,5.28563321855695e-05,0.0028711227202466,0.0007491410196064,0.0002173732007783,0.0014280986626254,0.0029751989934103
0.01,-0.01,0.02,-0.0018201641093631,-0.0028140509891909,0.0004872925124187,0.0003409653786567,0.0003570612921236,0.0002145428099255,0.0033866405695673,0.0005383110374739
0.01,-0.01,0.03,-0.0016308651215357,-0.0015646160500924,0.0009474650944258,0.0004676833992778,0.0007646637231312,0.0003693450727061,0.002450598811312,0.0009694607543193
0.01,-0.01,0.04,-0.0008077688471903,-0.0004794572888375,0.0002230399004079,0.000208219493786,0.0003226393859246,5.494344505303352e-05,0.0009654618581201,0.0003879050310277
0.01,-0.01,0.05,0.0005211899521461,0.0003935022869191,9.753349003909484e-05,0.0003580498591779,0.0002352633907046,6.32234495049404e-05,0.0006602997786671,0.0004330655484225
0.01,-0.01,0.06,0.0015767952210847,8.523843721815281e-05,3.51145779784995e-05,0.0006098080194848,0.0003431597005297,0.000101445011196,0.001579487826481,0.0007070470217688
0.01,-0.01,0.07,0.0022904690408149,-8.671850774063569e-05,-6.778784553803424e-05,0.0007455876964949,0.0004807786437079,0.0001470618629964,0.0022931122341741,0.0008992643154035
0.01,-0.01,0.08,0.0020833113192872,0.0004241850194834,1.1503581587226698e-05,0.0015357119384337,0.0003884545343874,0.00019457551595,0.002126088266327,0.0015959848729049
0.01,-0.01,0.09,0.0005643761289365,0.0002965968018938,0.0001708323982109,0.0011842786209114,0.0004084245108325,0.0001071202379662,0.0006600558961827,0.0012572991602552
0.01,-0.01,0.1,-0.0005020843796022,0.0003185946753383,0.0001585281187451,0.0016808024121159,0.0005535319217296,9.6540131263979e-05,0.0006154043027371,0.0017722342773722
0.01,-0.01,0.11,-0.0001507630575557,4.870428763964641e-05,0.0001657368975643,0.0012398716246949,0.000281237217722,0.0001177417095492,0.0002292821981146,0.0012768081800032
0.01,-0.01,0.12,-0.0001410359114636,-0.0004440467166786,0.0001581072457609,0.0019154048300468,0.0008587513071209,0.0001288173850925,0.0004920025569828,0.0021030509716007
0.01,-0.01,0.13,-0.0004100102088612,-0.0006324667757109,0.0002257110627292,0.0018931011332881,0.0008516638595451,0.000139051617973,0.0007868087935369,0.0020805044059009
0.01,-0.01,0.14,-0.0005930450149172,-0.0003432799757745,0.0002957611537278,0.0006312945056624,0.0003986555290175,6.586063813081597e-05,0.0007463365136052,0.0007495309248795
